student_id,age,attendance_percentage,current_gpa,failed_subjects,backlogs,assignment_completion_percentage,internal_assessment_marks,exam_score,lms_activity_score,fee_pending,counseling_sessions,dropout
STU1573,21,93.7,7.11,2,3,61.5,64.4,48.9,71.5,0,3,0
STU1908,19,76.2,5.84,0,0,100.0,75.1,58.3,65.2,0,1,0
STU2081,21,70.4,5.82,4,5,80.2,64.7,51.9,77.3,0,0,1
STU1451,20,69.6,6.03,1,0,100.0,58.4,48.0,42.0,0,0,0
STU2610,20,75.5,7.27,2,3,72.5,81.4,80.3,89.2,0,0,0
STU2291,21,73.4,7.28,1,1,100.0,53.5,46.9,63.9,0,1,0
STU2079,20,60.9,7.65,5,6,82.6,76.0,59.5,69.0,0,0,0
STU1255,20,88.4,6.01,1,0,83.8,71.7,62.4,90.1,0,2,0
STU1125,22,75.7,7.55,1,2,81.5,49.4,50.4,94.7,1,0,0
STU2928,19,58.9,7.7,0,0,74.7,62.6,67.8,70.9,0,1,0
STU1252,21,75.0,6.37,0,0,68.7,69.6,71.4,66.8,0,2,0
STU1586,23,87.9,7.27,0,0,75.1,62.3,74.7,55.2,0,0,0
STU2569,21,81.9,6.68,1,1,59.3,58.5,44.4,49.3,0,1,0
STU1825,18,76.1,7.56,1,2,49.0,75.5,44.9,28.5,0,0,0
STU1508,21,80.3,5.79,0,0,97.1,62.1,71.9,71.4,0,2,0
STU1890,18,72.0,7.98,0,0,86.3,72.6,57.1,52.0,0,0,0
STU1071,19,71.9,6.58,0,0,83.6,59.9,60.8,94.2,0,2,0
STU2609,20,85.4,7.03,0,0,47.7,78.4,40.1,56.2,0,1,0
STU2533,22,91.7,6.76,2,2,67.3,58.5,61.1,50.0,0,0,0
STU1248,23,67.1,7.3,1,2,61.5,65.9,42.9,85.7,0,0,0
STU2451,20,57.0,6.6,1,0,84.8,38.9,90.0,58.3,0,0,0
STU1213,21,91.5,7.35,0,0,87.1,76.6,57.8,81.8,0,0,0
STU1910,19,82.5,6.71,0,0,99.8,58.8,61.7,76.2,0,0,0
STU2742,22,66.9,7.93,1,2,84.6,78.8,50.3,87.3,1,0,0
STU2245,22,81.8,7.85,0,0,100.0,59.5,23.2,61.0,0,1,0
STU2697,20,67.6,7.05,1,1,56.3,50.1,74.7,73.0,0,0,0
STU2183,19,67.5,6.74,1,1,88.9,51.0,71.6,51.0,0,2,1
STU1362,21,64.0,7.14,1,1,100.0,74.2,50.9,43.8,0,0,0
STU2474,18,82.6,6.41,0,0,70.5,80.7,42.5,38.1,1,3,0
STU1679,21,54.7,5.86,1,1,75.1,55.2,72.2,61.8,0,3,0
STU2622,21,68.5,6.99,1,1,74.3,76.7,56.5,96.5,0,0,0
STU2090,20,87.6,8.83,0,1,99.5,72.3,48.0,80.2,1,0,0
STU2988,20,81.3,6.32,0,0,76.0,54.7,87.8,71.9,0,0,0
STU2848,19,100.0,8.25,1,2,70.8,54.4,86.3,22.0,0,0,0
STU1988,21,95.0,7.08,1,1,90.5,63.6,65.9,70.7,1,0,0
STU2513,22,68.5,5.26,0,0,83.8,57.1,56.3,74.6,0,2,0
STU1112,21,82.0,7.36,1,1,54.3,51.3,60.4,70.5,0,1,0
STU2488,19,79.2,6.1,0,0,63.7,44.6,53.3,69.3,0,2,0
STU2454,20,84.7,5.77,0,1,91.4,95.0,73.0,92.1,0,1,0
STU1384,19,69.8,6.11,0,0,100.0,68.3,54.6,92.9,0,3,0
STU2396,23,83.2,7.42,1,2,70.4,61.1,39.8,84.9,0,0,0
STU2055,19,70.6,6.83,1,2,53.2,50.9,64.1,54.6,1,0,1
STU1756,22,61.6,6.19,1,0,60.0,67.3,64.0,83.2,0,0,0
STU1325,23,47.4,5.87,0,1,49.2,75.7,79.7,58.4,0,1,0
STU2624,22,88.6,5.11,0,0,51.8,70.5,46.7,65.4,0,0,0
STU1788,20,75.3,6.81,1,0,76.0,51.3,81.3,52.2,0,0,0
STU1369,21,65.4,6.66,2,3,94.1,56.8,42.9,63.3,1,1,0
STU2820,20,72.4,7.14,0,1,99.2,91.3,55.0,61.5,0,0,0
STU1070,20,73.6,4.58,0,0,83.2,34.4,45.5,50.6,0,0,1
STU1858,21,77.5,6.16,1,2,65.9,85.1,55.2,40.7,0,1,0
STU2484,21,91.7,8.22,0,0,65.5,68.7,75.3,56.5,0,2,0
STU2556,20,73.0,6.96,5,4,78.2,42.2,50.0,64.0,1,0,1
STU2692,18,75.0,6.45,0,0,62.3,58.3,47.8,86.4,0,3,0
STU2475,20,60.3,7.07,2,2,46.2,50.1,90.0,71.3,0,0,0
STU2799,20,86.1,6.02,0,1,71.1,57.7,74.1,60.3,0,1,0
STU1479,21,85.1,7.56,0,0,81.9,64.6,91.0,78.8,0,3,0
STU1282,18,76.2,4.26,0,0,81.2,63.0,90.1,72.1,0,2,1
STU2648,22,71.3,5.95,1,1,88.2,57.7,62.4,53.3,0,0,0
STU2557,20,73.5,7.05,2,2,98.0,49.4,44.6,56.7,0,2,0
STU2730,21,79.0,5.46,2,2,90.3,57.6,95.0,58.1,0,0,0
STU1211,22,85.5,6.83,1,1,76.2,54.7,52.9,39.9,1,1,1
STU1298,20,67.0,6.14,0,0,38.3,68.6,55.6,69.4,0,0,0
STU2885,18,66.9,7.58,0,0,61.7,77.4,61.6,89.5,0,1,0
STU2834,21,66.7,5.99,0,0,94.9,48.7,53.2,84.1,1,0,0
STU1652,20,53.2,7.79,1,2,80.8,68.5,62.4,72.4,0,0,0
STU2234,21,86.4,8.84,0,0,79.5,56.6,67.2,80.3,1,1,0
STU2503,22,83.6,5.71,0,0,99.2,75.0,46.7,54.5,0,3,0
STU2932,20,85.1,6.11,0,1,86.0,57.8,49.1,41.5,0,0,1
STU1917,22,94.9,5.07,1,0,76.3,75.8,73.8,100.0,0,1,0
STU1994,22,100.0,6.12,0,0,56.3,60.6,44.0,83.0,0,0,0
STU1430,21,97.9,5.31,1,1,60.0,54.4,60.2,73.8,0,0,0
STU2371,19,72.9,7.55,2,2,83.6,50.5,64.1,73.7,0,2,0
STU1240,20,72.3,7.44,0,1,73.9,69.7,65.2,81.8,0,2,0
STU1880,20,80.8,5.7,1,1,70.0,46.4,55.7,61.1,0,0,0
STU1621,20,67.8,5.69,2,2,54.8,71.2,57.7,50.1,1,0,1
STU1257,21,80.0,5.06,0,0,60.0,61.4,65.2,71.3,1,1,0
STU1612,21,85.9,8.79,0,0,88.7,45.2,82.5,62.9,0,0,0
STU1545,20,75.5,7.36,3,2,100.0,73.9,61.8,74.7,0,0,0
STU1772,22,82.9,4.15,0,0,95.1,44.3,35.9,50.6,0,1,0
STU2420,21,90.7,5.59,1,1,62.5,64.0,66.6,28.7,0,2,0
STU2042,22,74.6,5.98,1,2,54.1,67.2,66.5,66.5,0,0,0
STU2790,22,70.1,8.17,0,0,76.8,77.6,77.5,50.5,0,0,0
STU1760,21,86.5,6.25,0,0,79.7,66.7,73.7,49.5,0,1,0
STU1383,18,57.6,7.27,2,2,89.4,79.7,74.4,50.6,0,0,0
STU2104,21,88.6,6.66,0,0,70.1,77.4,84.2,69.8,0,1,0
STU1974,21,69.0,4.06,1,2,60.8,59.4,38.5,51.5,0,1,0
STU1353,20,75.6,6.89,1,1,80.2,58.2,48.6,56.4,1,0,0
STU2606,22,85.7,5.54,0,1,83.2,56.2,65.2,22.8,0,1,0
STU2826,21,72.9,7.31,1,0,88.4,53.0,75.7,88.7,0,0,0
STU2037,22,77.7,7.51,0,0,75.0,70.9,60.8,53.0,0,0,0
STU2108,19,77.6,6.42,0,0,46.0,55.7,62.8,54.2,0,1,0
STU1495,20,89.1,7.12,1,1,61.5,57.2,72.6,47.0,1,0,1
STU1394,21,79.7,5.88,1,1,52.2,62.6,53.8,45.0,1,4,0
STU2547,18,95.3,8.51,1,1,82.0,71.3,49.6,42.3,0,0,0
STU1465,19,67.6,7.79,1,1,73.9,65.6,74.4,83.1,0,2,0
STU1887,22,82.1,7.03,0,1,66.4,32.4,65.8,74.7,0,1,0
STU2194,21,61.8,7.37,1,1,82.5,55.6,46.4,39.9,0,4,1
STU1367,20,89.4,7.25,0,0,56.8,72.6,38.2,71.8,0,0,0
STU2894,18,63.3,7.99,2,2,76.0,54.3,89.0,79.2,0,2,0
STU2874,19,61.5,6.82,2,2,83.9,54.1,55.2,59.3,0,2,0
STU1745,21,88.2,6.61,2,1,78.3,68.0,47.2,51.4,0,1,0
STU1530,23,69.5,8.23,2,2,74.8,58.1,50.1,71.4,1,1,0
STU1803,21,86.5,6.79,0,0,97.0,51.1,54.0,68.4,1,1,0
STU2224,22,53.9,7.19,3,3,87.0,60.7,70.3,72.7,0,0,0
STU2979,23,84.9,6.25,1,1,85.7,74.9,61.1,74.8,0,2,0
STU2906,19,100.0,6.56,0,0,74.5,64.9,71.1,84.4,0,2,0
STU2700,21,61.3,4.95,2,1,55.9,68.3,71.8,87.6,0,1,1
STU2545,22,72.8,6.73,3,3,72.3,63.6,71.9,64.8,0,1,1
STU2314,21,77.7,6.62,0,0,58.7,55.4,31.7,52.4,0,2,0
STU1307,20,99.2,7.06,1,1,63.4,57.4,49.1,72.8,1,2,0
STU2667,21,76.1,7.12,0,0,76.5,69.6,73.7,90.4,0,1,0
STU1863,20,66.6,7.47,0,1,64.5,65.7,76.1,60.0,0,0,0
STU2567,19,84.6,8.14,1,1,70.7,49.5,61.2,64.9,0,1,0
STU1531,20,89.8,7.71,0,1,100.0,49.5,65.4,61.0,1,0,0
STU1655,21,75.8,6.95,0,0,69.7,84.9,55.0,85.9,0,0,0
STU2260,20,72.0,7.04,1,3,42.2,43.2,46.3,65.4,0,1,1
STU1234,22,95.0,8.21,0,0,88.6,79.8,58.8,18.8,0,1,0
STU1121,19,82.7,6.15,0,0,81.2,56.0,82.6,85.7,0,1,0
STU2698,24,74.0,6.4,0,0,85.8,65.4,73.4,89.4,1,1,0
STU1950,18,90.0,7.64,1,1,81.0,63.6,91.8,51.1,0,0,0
STU1618,21,87.2,5.8,0,0,83.7,58.9,80.9,47.2,0,0,0
STU2179,21,83.5,5.06,2,1,99.9,57.5,94.7,70.3,0,1,1
STU1308,22,76.2,8.89,2,2,87.8,60.5,42.9,44.9,0,2,0
STU1136,19,71.8,6.19,2,2,76.7,42.2,63.9,67.6,0,0,0
STU1555,20,80.7,8.58,1,1,93.1,64.3,62.5,76.3,1,1,0
STU2674,21,52.8,6.5,1,1,74.1,65.4,68.9,74.9,0,0,0
STU1584,19,80.1,8.09,1,0,76.3,70.5,69.3,64.7,0,0,0
STU2641,19,57.3,6.39,1,1,77.1,66.4,50.9,74.5,1,3,1
STU1671,22,84.3,4.24,1,1,64.1,62.7,80.3,57.7,0,1,0
STU1835,20,81.9,5.19,0,0,80.4,72.2,75.9,80.8,0,1,0
STU1110,18,78.5,6.83,0,0,84.1,59.4,57.2,96.7,0,0,0
STU2165,19,68.3,5.89,1,2,77.3,53.1,59.9,73.3,0,0,0
STU2960,20,66.1,8.04,1,1,75.9,37.4,67.7,92.8,0,1,0
STU2465,22,81.9,5.82,1,1,86.4,62.9,95.0,34.0,0,2,0
STU2729,21,79.4,7.95,1,1,70.2,64.1,36.0,70.4,1,0,0
STU2243,23,79.1,7.59,0,0,49.9,70.7,82.1,94.6,0,1,0
STU1212,19,87.8,7.1,1,1,62.0,66.7,49.7,77.3,0,0,0
STU2768,22,81.4,8.45,0,1,65.9,54.7,52.1,41.7,0,0,0
STU2121,21,80.0,6.97,2,2,92.4,55.9,72.4,79.8,1,0,0
STU1680,20,81.4,5.7,0,0,87.4,53.9,72.4,56.2,0,1,0
STU2951,21,67.3,4.53,1,1,66.7,38.4,64.5,67.1,0,1,0
STU2839,22,72.2,6.77,0,0,87.2,57.9,48.5,83.4,0,0,0
STU1412,18,94.9,6.66,3,4,80.3,59.3,77.3,58.3,0,1,0
STU2325,21,86.9,6.82,2,1,65.0,59.6,61.0,60.1,0,0,0
STU1783,23,82.0,5.95,1,1,79.1,69.4,68.6,31.9,0,4,0
STU2346,24,73.2,6.13,2,2,58.4,54.1,40.4,57.7,0,1,1
STU1875,18,77.4,5.76,1,2,59.9,64.8,79.3,50.7,1,2,0
STU2653,21,86.2,7.58,1,1,95.3,78.1,81.1,59.7,0,0,0
STU2279,21,66.8,6.36,2,1,100.0,51.1,57.1,60.5,0,3,0
STU1786,21,77.1,5.24,0,0,78.3,66.5,59.5,70.5,1,1,0
STU2819,21,94.7,7.24,0,0,82.1,53.8,58.2,64.0,0,1,0
STU2199,22,88.3,6.2,2,3,97.0,61.0,57.7,68.2,0,2,1
STU1808,19,53.0,6.2,0,0,100.0,25.0,62.9,74.8,0,1,0
STU1713,19,75.1,7.91,0,0,88.3,53.8,66.5,55.9,0,0,0
STU2991,21,79.4,4.68,1,1,43.5,84.4,35.3,73.6,0,2,0
STU2660,21,76.1,6.97,2,2,70.2,70.4,73.7,97.3,0,1,0
STU2191,22,58.9,6.91,2,2,78.5,45.9,57.0,50.2,0,0,0
STU2226,21,68.9,7.19,1,1,78.1,56.3,76.2,83.9,1,1,0
STU1603,22,74.9,6.75,1,0,82.8,80.1,47.8,58.8,0,0,1
STU1271,20,81.0,5.53,1,2,88.3,68.3,69.0,44.4,0,0,0
STU2385,18,75.1,8.33,2,2,65.8,68.2,63.4,72.4,0,0,0
STU1232,20,63.1,7.5,2,3,72.7,45.2,72.6,59.0,0,1,0
STU1050,21,62.5,6.86,1,1,82.0,62.9,60.8,72.9,0,0,0
STU1463,18,74.1,7.89,0,0,63.4,71.5,53.9,33.5,0,0,0
STU2106,21,76.5,5.98,1,1,46.6,71.8,48.1,36.9,0,2,1
STU1856,21,94.9,8.01,0,0,51.3,59.3,31.7,59.3,0,0,0
STU1694,18,71.6,6.06,1,2,59.5,83.0,51.4,66.4,0,1,0
STU2552,20,61.8,6.64,0,0,50.8,37.7,56.3,81.6,0,2,0
STU2873,20,70.1,6.98,2,1,61.4,56.3,47.9,64.4,1,2,1
STU1527,22,75.2,6.56,0,0,66.3,60.8,76.8,36.5,0,1,0
STU1174,19,61.4,6.05,2,2,67.6,57.5,47.7,77.0,0,2,0
STU1721,20,78.1,4.05,1,1,81.1,54.8,68.3,32.6,1,2,0
STU1415,20,89.3,6.64,0,0,97.9,53.2,68.2,57.9,0,0,0
STU1238,20,74.9,7.03,1,2,83.1,62.3,40.8,100.0,0,1,0
STU2473,20,89.1,7.27,1,1,72.8,58.5,45.2,53.6,1,0,0
STU2336,23,72.6,5.74,0,0,69.7,81.4,63.0,83.8,0,0,0
STU2064,22,78.0,6.58,0,1,65.6,41.6,60.6,72.2,0,0,0
STU1024,20,75.2,5.26,1,1,78.2,77.2,38.3,65.3,0,2,0
STU2767,19,87.1,6.31,1,3,80.0,55.3,65.7,52.8,0,0,0
STU1064,21,80.6,6.17,0,3,60.5,41.3,51.5,79.0,0,0,0
STU1290,20,57.0,7.21,0,0,53.0,83.5,65.8,59.1,1,0,1
STU1189,19,100.0,6.07,1,2,67.2,72.9,72.3,48.0,1,2,0
STU1702,20,62.7,6.31,1,0,66.9,44.2,69.8,66.9,0,2,0
STU2815,21,89.8,7.57,0,0,68.0,82.9,59.8,74.6,0,0,0
STU2138,21,88.8,7.26,0,0,62.4,58.5,59.5,83.3,0,1,0
STU1355,22,61.8,5.77,1,1,64.1,64.1,81.5,71.1,0,0,0
STU1417,22,67.1,8.04,0,0,68.7,59.5,44.2,45.7,0,0,0
STU2246,21,80.0,6.94,0,0,51.7,51.1,50.0,74.4,0,0,0
STU1931,21,67.0,7.48,0,0,79.5,69.0,48.8,49.8,0,1,0
STU1197,21,73.8,7.08,0,0,84.6,79.2,65.1,63.8,0,2,0
STU1580,21,92.5,7.56,1,0,61.3,83.3,51.2,81.7,0,1,0
STU2135,20,69.7,6.26,1,1,77.5,93.9,52.7,67.6,0,3,1
STU2814,20,73.1,7.68,2,1,65.0,59.2,59.2,70.1,0,0,0
STU2935,19,80.8,5.22,3,5,85.5,59.4,76.6,64.5,0,1,0
STU1434,18,77.2,7.18,0,0,87.4,90.5,50.6,73.4,0,2,0
STU1101,20,79.1,7.36,1,0,65.9,63.9,60.9,53.3,0,0,0
STU2655,20,83.5,6.25,0,0,87.5,89.3,58.0,80.3,0,1,0
STU1395,21,65.4,5.64,1,1,100.0,89.3,60.1,54.8,0,0,0
STU2939,20,76.8,7.05,0,0,83.0,87.2,95.0,69.9,1,0,0
STU1221,20,77.1,8.42,0,0,70.9,32.7,72.1,62.1,0,1,0
STU2676,18,99.7,6.29,0,0,87.9,74.8,84.2,78.1,1,0,0
STU2498,19,89.0,7.39,0,1,64.9,65.5,71.0,41.2,0,1,0
STU2785,21,97.9,6.74,1,2,49.9,55.5,59.4,61.0,0,3,0
STU1345,23,85.7,6.24,0,0,81.8,57.2,87.3,95.2,0,1,0
STU2028,21,59.7,6.63,0,0,70.6,69.1,52.7,54.8,1,2,0
STU1889,18,71.2,6.63,1,1,90.4,69.1,74.0,71.2,0,1,0
STU2351,20,76.8,6.24,2,2,93.4,52.9,62.4,62.2,0,0,0
STU1553,21,70.8,6.11,4,4,71.1,74.7,38.5,83.6,0,1,0
STU1744,18,54.7,6.72,0,0,94.1,50.2,66.3,62.8,0,1,0
STU2542,22,80.2,7.17,1,0,65.8,73.3,73.0,53.3,0,2,0
STU1539,18,83.4,5.69,1,1,86.4,47.8,66.2,94.7,0,0,0
STU1907,20,89.7,7.59,0,0,73.8,78.2,64.1,79.0,1,0,0
STU2395,18,83.0,7.09,0,0,43.7,79.7,57.2,86.1,0,0,0
STU1116,20,72.9,6.19,0,0,68.6,41.6,71.0,62.4,0,0,1
STU1830,18,100.0,4.91,0,0,62.3,76.9,51.5,48.7,0,2,0
STU2938,19,81.6,7.56,1,1,94.4,69.6,50.5,70.8,0,0,0
STU1809,20,79.3,6.23,2,2,100.0,68.1,82.9,46.9,0,0,1
STU2311,19,69.9,5.82,0,0,80.7,52.4,54.0,65.0,1,1,0
STU2005,21,72.8,7.03,0,0,68.6,70.3,68.8,54.6,1,4,0
STU1306,19,70.1,6.8,1,1,70.6,95.0,38.1,75.8,0,0,0
STU2101,22,63.8,5.92,1,1,75.0,53.2,66.9,87.6,1,1,0
STU1480,24,72.6,7.19,0,0,73.3,71.6,58.4,71.1,0,2,0
STU2424,22,64.3,6.76,2,1,58.8,81.5,70.5,29.8,0,0,0
STU2076,21,65.7,6.84,0,0,89.9,69.1,84.9,62.9,0,0,0
STU1571,19,100.0,6.7,0,0,90.6,76.6,65.2,77.5,0,0,0
STU1619,20,66.7,9.53,1,0,72.8,63.4,59.0,70.0,0,1,0
STU2898,21,97.5,8.47,2,2,76.2,51.8,77.7,70.4,0,3,0
STU2266,20,80.7,6.7,0,1,56.4,73.4,89.9,15.0,0,0,0
STU1079,21,50.1,6.4,0,0,78.7,62.1,54.4,56.4,0,1,0
STU2912,21,100.0,7.0,0,1,77.4,83.8,39.3,53.2,0,1,0
STU1033,20,83.9,7.39,0,1,63.1,66.8,66.6,75.9,0,2,0
STU2538,18,72.0,4.59,0,0,95.5,62.1,48.1,82.4,1,0,0
STU2034,21,80.3,6.75,1,1,75.3,71.0,57.6,80.2,0,0,0
STU2563,19,60.9,7.25,1,0,45.9,54.2,80.9,83.2,0,1,0
STU1352,22,83.5,5.65,1,2,78.1,65.3,66.8,81.3,1,1,0
STU1164,19,83.6,5.45,1,0,94.1,79.1,70.0,63.5,0,0,0
STU1204,21,83.3,8.92,0,0,84.8,76.6,86.8,82.4,0,1,0
STU2054,24,75.1,6.07,0,0,81.1,78.4,52.0,73.4,0,1,0
STU2365,20,81.8,7.09,1,0,94.1,46.1,82.0,98.0,0,1,0
STU2967,21,64.1,6.0,2,3,70.4,80.9,60.4,53.3,1,5,0
STU1496,22,100.0,5.43,0,0,91.9,63.6,46.0,65.1,0,0,0
STU2625,21,75.2,6.32,0,0,52.5,64.3,41.4,65.3,0,2,0
STU2966,21,66.4,8.02,1,1,82.6,49.5,67.9,80.3,1,0,0
STU2963,20,82.2,8.39,1,0,63.9,78.8,51.0,70.8,0,0,0
STU1611,19,56.0,6.9,1,0,66.0,46.2,60.5,51.2,0,0,0
STU1433,20,63.8,7.33,0,0,91.1,67.4,66.8,66.1,0,0,0
STU2492,20,64.5,4.45,1,1,97.9,67.2,68.7,73.8,0,0,1
STU1219,20,68.2,8.52,1,2,73.6,57.3,69.7,49.3,0,0,0
STU2931,18,63.3,7.33,2,2,80.1,81.0,60.6,44.0,0,0,0
STU2466,21,100.0,7.29,0,0,91.1,58.3,31.8,62.8,0,0,0
STU1631,23,77.1,5.04,1,2,77.0,70.0,41.4,48.0,0,0,0
STU2382,18,79.9,6.13,1,1,61.6,64.2,74.4,60.6,0,0,0
STU2302,18,100.0,5.99,1,0,63.0,65.5,76.9,73.4,0,1,0
STU1060,22,62.9,6.7,2,2,100.0,69.1,65.1,80.3,0,0,0
STU1299,18,69.9,8.48,1,1,96.9,46.1,54.8,100.0,0,0,0
STU2711,20,81.6,7.67,2,2,51.0,71.3,62.1,74.3,0,1,0
STU1074,21,72.9,8.22,1,0,74.3,58.6,38.1,74.5,0,0,0
STU1163,23,91.6,7.33,2,2,69.8,73.5,87.9,66.1,0,1,0
STU2275,20,53.0,6.14,0,0,65.1,50.5,40.8,71.1,0,1,0
STU2594,20,81.4,7.19,0,0,57.1,59.9,43.6,90.4,0,1,0
STU2434,18,77.3,7.82,1,0,44.1,59.2,48.0,75.7,0,0,0
STU2613,20,69.0,6.12,1,1,61.9,59.2,60.3,79.3,0,2,1
STU1592,21,100.0,8.35,2,2,87.6,66.4,47.0,25.2,0,2,0
STU1317,21,72.5,7.41,2,2,99.0,67.9,64.1,76.5,0,0,0
STU1046,21,64.1,6.65,0,0,60.9,48.8,77.5,70.5,0,0,0
STU2720,19,79.4,7.27,1,2,74.6,62.3,85.3,77.0,0,0,0
STU2832,21,100.0,7.01,0,0,62.8,69.9,68.1,44.1,0,0,0
STU1428,23,69.1,5.41,0,0,88.2,77.5,50.1,65.1,0,0,0
STU1582,19,87.6,7.6,1,1,83.0,50.4,53.6,78.3,1,1,0
STU1077,20,75.6,4.19,0,0,92.1,81.1,84.1,80.3,0,1,0
STU2917,20,72.2,6.86,2,2,97.6,29.4,41.6,67.2,0,2,0
STU2415,22,62.7,8.16,1,2,59.7,70.8,70.1,68.9,0,1,0
STU1781,20,94.1,6.45,0,0,52.4,59.3,64.4,68.0,0,1,0
STU2920,19,80.7,6.51,1,1,100.0,80.6,73.8,54.4,1,1,0
STU2174,19,76.5,5.84,0,0,69.3,74.5,74.9,52.6,0,0,0
STU2320,22,85.3,7.05,1,1,72.8,70.1,88.0,54.6,0,1,0
STU1938,20,93.1,5.13,1,2,76.5,36.7,61.9,56.0,0,0,0
STU1031,23,91.7,5.58,0,0,76.1,48.4,88.7,73.9,0,1,0
STU2092,21,68.0,7.28,2,1,91.2,30.6,41.8,45.8,0,2,1
STU2616,21,86.3,6.41,1,1,64.6,55.8,69.3,98.5,0,1,0
STU2230,21,58.6,6.49,0,0,63.4,66.0,41.9,79.1,0,2,0
STU1975,19,77.4,6.35,0,0,76.2,73.1,45.2,75.4,0,1,0
STU2085,21,70.4,7.51,0,0,64.1,67.8,82.2,50.9,0,1,0
STU1515,22,77.5,6.89,3,3,51.2,59.5,72.6,87.9,0,2,0
STU2551,18,67.1,7.52,0,1,57.6,35.5,74.0,69.1,0,1,0
STU2568,21,61.7,5.59,0,0,80.8,48.6,68.2,55.4,0,0,0
STU2811,18,79.2,8.69,0,0,74.5,62.0,82.8,59.0,0,1,0
STU2574,20,75.1,7.42,1,2,71.1,61.5,52.9,91.4,0,0,0
STU1045,21,59.5,5.84,0,1,37.6,67.3,56.8,42.2,0,1,0
STU2687,20,61.4,8.33,0,0,95.9,69.4,81.1,59.5,1,2,0
STU1169,20,67.1,6.71,0,0,76.1,62.7,70.9,61.9,0,1,0
STU1304,20,70.8,6.21,0,2,92.3,59.1,64.6,73.4,0,0,0
STU1991,22,83.7,5.24,2,4,66.8,81.5,55.3,48.0,0,0,0
STU1556,20,71.4,8.42,0,0,96.2,59.2,26.6,47.0,0,1,0
STU2925,20,76.2,5.54,0,1,85.8,71.2,81.5,54.1,0,2,0
STU1608,21,73.6,8.1,2,3,96.0,59.9,30.2,42.3,1,1,0
STU2619,21,80.2,6.83,0,1,82.9,45.7,60.9,73.9,0,0,0
STU1758,22,80.0,7.65,2,2,79.7,74.3,73.7,56.9,0,1,0
STU1439,20,87.9,5.4,0,0,67.6,55.5,65.4,74.4,0,2,0
STU1583,20,75.0,6.95,0,0,70.2,87.2,61.3,47.5,0,0,0
STU2519,20,76.2,7.61,0,0,75.2,61.7,80.0,83.5,0,1,0
STU1528,21,71.5,6.99,0,2,78.0,40.4,49.2,49.5,0,0,0
STU1343,21,51.3,6.72,0,0,54.1,78.6,69.8,58.8,0,1,0
STU2737,19,70.1,7.25,1,1,65.3,82.5,65.3,75.5,0,0,0
STU1368,19,71.3,6.62,0,0,82.0,69.6,45.3,37.6,0,0,1
